In / Out of Set Character,Character ,Movie Name,Measure Names,Movie,Max line,Min line,Runtime (mins),Runtime (mins),Screen Time (in mins),Total Screen Time
In,▶ Dean Thomas,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Dean Thomas,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Dean Thomas,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Dean Thomas,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Lavender Brown,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Lavender Brown,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Lavender Brown,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Bartemius Crouch Sr.,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Viktor Krum,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Xenophilius Lovegood,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Professor Sybil Trelawney,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Professor Sybil Trelawney,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Hedwig,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Hedwig,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Hedwig,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Kingsley Shacklebolt,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Kingsley Shacklebolt,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Kingsley Shacklebolt,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Nymphadora Tonks,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Nymphadora Tonks,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Nymphadora Tonks,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Oliver Wood,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Oliver Wood,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Parvati Patil,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Parvati Patil,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Parvati Patil,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Vincent Crabbe,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Vincent Crabbe,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Vincent Crabbe,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Padma Patil,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Padma Patil,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Padma Patil,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Aberforth Dumbledore,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Percy Weasley,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Percy Weasley,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Professor Igor Karkaroff,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Rita Skeeter,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,"▶ Alastor ""Mad-Eye"" Moody","Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,"▶ Alastor ""Mad-Eye"" Moody","Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Bogrod,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Lily Potter,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Lily Potter,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Lily Potter,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Madame Olympe Maxime,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Mundungus Fletcher,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Marge Dursley,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Moaning Myrtle,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Moaning Myrtle,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Nagini,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Nagini,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Professor Filius Flitwick,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Professor Filius Flitwick,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Professor Filius Flitwick,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Scabior,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ The Sorting Hat,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ The Sorting Hat,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Blaise Zabini,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Blaise Zabini,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Fang,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Fang,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Fawkes,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Rufus Scrimgeour,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Helena Ravenclaw,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Kreacher,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Stan Shunpike,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Yaxley,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Albus Severus Potter,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Dolores Umbridge,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Grawp,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Madame Hooch,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Mary Cattermole,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Amos Diggory,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Arabella Figg,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Bathilda Bagshot,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Cormac McLaggen,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Firenze,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Frank Bryce,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Gabrielle Delacour,"Harry Potter
And  
the Goblet of Fire",Screen Time (in mins),Harry Potter and the Goblet of Fire,,,,,,
In,▶ Katie Bell,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Katie Bell,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Professor Pomona Sprout,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Bill Weasley,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Colin Creevy,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Fenrir Greyback,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Madame Poppy Pomfrey,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Nigel,"Harry Potter
And  
the Order of the Phoenix",Screen Time (in mins),Harry Potter and the Order of the Phoenix,,,,,,
In,▶ Alecto Carrow,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Amycus Carrow,"Harry Potter
And  
the Deathly Hallows: Part 2",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 2,,,,,,
In,▶ Aragog,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Elphias Doge,"Harry Potter
And  
the Deathly Hallows: Part 1",Screen Time (in mins),Harry Potter and the Deathly Hallows: Part 1,,,,,,
In,▶ Ernie Prang,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ James Potter,"Harry Potter
And  
the Sorcerer's Stone",Screen Time (in mins),Harry Potter and the Sorcerer's Stone,,,,,,
In,▶ Madame Rosmerta,"Harry Potter
And  
the Prisoner of Azkaban",Screen Time (in mins),Harry Potter and the Prisoner of Azkaban,,,,,,
In,▶ Marcus Flint,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Romilda Vane,"Harry Potter
And  
the Half-Blood Prince",Screen Time (in mins),Harry Potter and the Half-Blood Prince,,,,,,
In,▶ Justin Finch-Fletchley,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,"▶ Sir Nicholas ""Nearly-Headless Nick""","Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Alicia Spinnet,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Angelina Johnson,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Scabbers / Peter Pettigrew,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Lee Jordan,"Harry Potter
And  
the Chamber of Secrets",Screen Time (in mins),Harry Potter and the Chamber of Secrets,,,,,,
In,▶ Harry Potter,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,72.8,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,83.8,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,74.5,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,63.3,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,61.8,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,67.0,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,68.3,539.25
In,▶ Harry Potter,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,48.0,539.25
In,▶ Ron Weasley,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,28.3,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,38.3,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,21.3,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,20.5,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,21.0,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,21.8,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,35.8,211.75
In,▶ Ron Weasley,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,25.0,211.75
In,▶ Hermione Granger,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,23.3,205
In,▶ Hermione Granger,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,15.5,205
In,▶ Hermione Granger,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,34.8,205
In,▶ Hermione Granger,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,16.5,205
In,▶ Hermione Granger,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,23.0,205
In,▶ Hermione Granger,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,20.0,205
In,▶ Hermione Granger,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,46.0,205
In,▶ Hermione Granger,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,26.0,205
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,9.8,76.5
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,10.8,76.5
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,6.3,76.5
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,14.3,76.5
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,7.5,76.5
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,22.3,76.5
In,▶ Professor Albus Dumbledore,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,5.8,76.5
In,▶ Professor Severus Snape,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,4.0,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,4.5,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,5.8,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,4.8,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,4.0,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,9.3,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,1.3,43.25
In,▶ Professor Severus Snape,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,9.8,43.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,2.0,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,6.8,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,1.0,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,6.5,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,2.3,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,4.3,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,5.0,38.25
In,▶ Tom Riddle / Voldemort,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,10.5,38.25
In,▶ Draco Malfoy,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,4.3,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,7.0,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,4.0,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,2.3,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,1.3,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,8.3,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,2.3,31.75
In,▶ Draco Malfoy,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,2.5,31.75
In,▶ Ginny Weasley,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,4.8,29.5
In,▶ Ginny Weasley,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,3.5,29.5
In,▶ Ginny Weasley,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,6.8,29.5
In,▶ Ginny Weasley,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,8.8,29.5
In,▶ Ginny Weasley,"Harry Potter
And  
the Deathly Hallows: Part 1",Runtime (mins),Harry Potter and the Deathly Hallows: Part 1,156,-10,146,146,2.0,29.5
In,▶ Ginny Weasley,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,3.8,29.5
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,7.5,28.75
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,5.8,28.75
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,1.8,28.75
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,4.5,28.75
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,2.0,28.75
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,3.8,28.75
In,▶ Professor Minerva McGonagall,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,3.5,28.75
In,▶ Neville Longbottom,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,3.3,28
In,▶ Neville Longbottom,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,1.3,28
In,▶ Neville Longbottom,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,3.0,28
In,▶ Neville Longbottom,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,4.3,28
In,▶ Neville Longbottom,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,9.0,28
In,▶ Neville Longbottom,"Harry Potter
And  
the Half-Blood Prince",Runtime (mins),Harry Potter and the Half-Blood Prince,163,-10,153,153,1.5,28
In,▶ Neville Longbottom,"Harry Potter
And  
the Deathly Hallows: Part 2",Runtime (mins),Harry Potter and the Deathly Hallows: Part 2,140,-10,130,130,5.8,28
In,▶ Rubeus Hagrid,"Harry Potter
And  
the Sorcerer's Stone",Runtime (mins),Harry Potter and the Sorcerer's Stone,162,-10,152,152,16.5,24.75
In,▶ Rubeus Hagrid,"Harry Potter
And  
the Chamber of Secrets",Runtime (mins),Harry Potter and the Chamber of Secrets,171,-10,161,161,8.3,24.75
In,▶ Professor Rubeus Hagrid,"Harry Potter
And  
the Prisoner of Azkaban",Runtime (mins),Harry Potter and the Prisoner of Azkaban,152,-10,142,142,5.3,21
In,▶ Professor Rubeus Hagrid,"Harry Potter
And  
the Goblet of Fire",Runtime (mins),Harry Potter and the Goblet of Fire,167,-10,157,157,3.8,21
In,▶ Professor Rubeus Hagrid,"Harry Potter
And  
the Order of the Phoenix",Runtime (mins),Harry Potter and the Order of the Phoenix,148,-10,138,138,2.8,21
